Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt
MAHINDCIE,,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,246.5,-1.14,248.4,242.4,
MAHLIFE,,REALTY,#N/A,#N/A,468.25,-1.1,473,462.1,
MAHSCOOTER,,AUTO-AUTOMOBILES AND AUTO PARTS,NA,#REF!,2009.7,1.06,2050,2009,
MAHSEAMLES,,METALS AND MINING,#N/A,#N/A,345.7,-1.65,345.7,334.85,
MAITHANALL,,METALS AND MINING,#REF!,#REF!,484.85,-0.11,498.8,480.5,
MAJESCO,,IT,#REF!,#REF!,364.6,3.39,388.9,365.5,
MALUPAPER,,PAPER,#N/A,#N/A,33.9,#N/A,#N/A,#N/A,
MALWACOTT,,TEXTILES AND APPAREL,#N/A,#N/A,7.95,#N/A,#N/A,#N/A,
MANAKALUCO,,METALS AND MINING,#N/A,#N/A,6.3,#N/A,#N/A,#N/A,
MANAKCOAT,,METALS AND MINING,#N/A,#N/A,9.9,9.6,10.85,10,
MANAKINDST,,FMCG-PACKAGING,#N/A,#N/A,46,0,0,0,
MANAKSIA,,FMCG-PACKAGING,#N/A,#N/A,78.45,0.7,79.3,77.8,
MANAKSTEEL,,METALS AND MINING,#N/A,#N/A,18.9,-1.32,19.55,17.75,
MANALIPETC,Buy,CHEMICALS,crude oil,Down,43.4,1.15,44.65,43.3,0.027995521
MANAPPURAM,Buy,JEWELLERY,Gold,#REF!,96.95,-1.34,97.35,95.3,0.004108885
MANDHANA,Exit,TEXTILES AND APPAREL,#REF!,#REF!,20.8,3.37,21.75,20.55,0.043678161
MANGALAM,Exit,PHARMA,#REF!,#REF!,193.45,-2.95,194.45,186,0.00514271
MANGCHEFER,Exit,CHEMICALS,#N/A,#N/A,77.55,#N/A,#N/A,#N/A,#N/A
MANGLMCEM,BWLV,CEMENTS,#REF!,#REF!,362.45,0.01,369,361.1,0.017750678
MANGTIMBER,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,30.65,#N/A,#N/A,#N/A,#N/A
MANINDS,Exit,METALS AND MINING,#REF!,#REF!,57.5,-6.52,58.2,53.55,0.012027491
MANINFRA,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,57.7,3.29,59.95,57.1,0.037531276
MANPASAND,RS,FMCG-BEVERAGES,#REF!,#REF!,707.55,-1.09,723.7,698.3,0.022315877
MANUGRAPH,HWLV,FINANCIAL SERVICES,#N/A,#N/A,60.8,0.08,62.7,60.25,0.03030303
MARALOVER,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,46.25,2.27,48.4,46.8,0.044421488
MARATHON,NL,REALTY,#N/A,#N/A,326.3,#N/A,#N/A,#N/A,#N/A
MARICO,Exit,FMCG,#N/A,#N/A,315.3,-0.67,319.9,312.9,0.014379494
MARKSANS,Exit,PHARMA,#REF!,#REF!,54.15,-2.77,54.85,52.2,0.012762078
MARUTI,Buy,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,6737.75,0.33,6778.5,6711.1,0.006011654
MASTEK,Buy,IT,#REF!,#REF!,349.75,2.39,363,349.8,0.036501377
MAWANASUG,Buy,FMCG-SUGAR,Sugar,#REF!,91.85,-1.52,93.1,90.15,0.013426423
MAXINDIA,NL,FINANCIAL SERVICES,#REF!,#REF!,154.85,0.26,159.9,155.1,0.031582239
MAXVIL,NL,FINANCIAL SERVICES,#REF!,#REF!,98.85,-1.01,100.05,97.6,0.011994003
MAYURUNIQ,BWLV,TEXTILES AND APPAREL,#REF!,#REF!,397.35,-0.84,403.5,392.9,0.015241636
MAZDA,NL,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,342.95,#N/A,#N/A,#N/A,#N/A
MBECL,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,46.95,#N/A,#N/A,#N/A,#N/A
MBLINFRA,TA,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,41.5,1.81,42.5,41.3,0.023529412
MCDHOLDING,Exit,FINANCIAL SERVICES-NBFC,#N/A,#N/A,43.25,#N/A,#N/A,#N/A,#N/A
MCDOWELL-N,Exit,FMCG-BEVERAGES,#N/A,#N/A,1962.6,9.44,2203.95,1970,0.109507929
MCLEODRUSS,TA,FMCG-BEVERAGES,#N/A,#N/A,185,0,187.5,183.5,0.013333333
MCX,HWV,FINANCIAL SERVICES,#REF!,#REF!,1128.15,-0.06,1137.5,1125,0.00821978
MEGASOFT,Exit,IT,#N/A,#N/A,21.15,#N/A,#N/A,#N/A,#N/A
MEGH,Buy,CHEMICALS,CRUDE OIL,Down,42.9,-0.12,43.75,42.35,0.019428571
MENONBE,HWLV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,74.65,#N/A,#N/A,#N/A,#N/A
MEP,HWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,70.5,2.84,73.6,70.7,0.042119565
MERCATOR,TA,TRANSPORTATION LOGISTICS,#REF!,#REF!,47.5,-0.84,48.5,46.65,0.020618557
MERCK,Buy,PHARMA,USFDA Approvals,#REF!,1084.45,-1.14,1093,1072,0.007822507
METALFORGE,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,53.8,0,54.8,53.6,0.018248175
METKORE,Exit,METALS AND MINING,#N/A,#N/A,2.95,#N/A,#N/A,#N/A,#N/A
MFSL,Exit,FINANCIAL SERVICES,#REF!,#REF!,643.15,1.65,659.7,639.05,0.025087161
MGL,NL,ENERGY-OIL & GAS,NATURAL GAS,UP,1007.95,-0.72,1014.4,997.15,0.006358438
MHRIL,HWV,ENTERTAINMENT-HOTELS AND LEISURE,#REF!,#REF!,472.6,-0.36,479.9,466,0.015211502
MIC,TA,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,14.05,-2.49,14,13.65,-0.003571429
MINDACORP,HWV,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,113.6,0.97,115,113,0.012173913
MINDAIND,Buy,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,497.35,0.35,509,495,0.022888016
MINDTECK,NL,IT,#N/A,#N/A,84.3,#N/A,#N/A,#N/A,#N/A
MINDTREE,Buy,IT,#N/A,#N/A,500.65,0.82,508.95,494.35,0.016308085
MIRCELECTR,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,14.2,#N/A,#N/A,#N/A,#N/A
MIRZAINT,Buy,FOOTWEAR,#REF!,#REF!,131.9,-2.61,134.6,127,0.020059435
MMFL,HWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,637.35,0.27,643,630.05,0.008786936
MMTC,RS,METALS AND MINING,#REF!,#REF!,66.15,-1.36,66.75,65.2,0.008988764
MOHITIND,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,48.7,#N/A,#N/A,#N/A,#N/A
MOIL,Buy,METALS AND MINING,Manganese Ore,Price,333.45,-1.42,336.85,327.3,0.010093513
MOLDTECH,NL,REALTY-HOUSEHOLD,#N/A,#N/A,52.95,-1.7,53.05,51.6,0.001885014
MOLDTKPAC,HWLV,FMCG-PACKAGING,#REF!,#REF!,310.05,-1.63,314.5,302.75,0.014149444
MONNETISPA,Exit,METALS AND MINING,#N/A,#N/A,41.35,-1.81,42.15,40.5,0.018979834
MONSANTO,HWV,CHEMICALS,#REF!,#REF!,2662.55,-1.41,2672.75,2605.1,0.003816294
MONTECARLO,BWLV,TEXTILES AND APPAREL,#N/A,#N/A,464.1,#N/A,#N/A,#N/A,#N/A
MORARJEE,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,54,#N/A,#N/A,#N/A,#N/A
MOREPENLAB,HWV,PHARMA,#REF!,#REF!,22.3,0.9,23.05,22.25,0.032537961
MOSERBAER,Exit,IT,#N/A,#N/A,5.4,#N/A,#N/A,#N/A,#N/A
MOTHERSUMI,HWV,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,409.2,-1.43,410.6,401.6,0.003409644
MOTILALOFS,HWV,FINANCIAL SERVICES,#REF!,#REF!,1020,1.29,1100,1010,0.072727273
MOTOGENFIN,HWLV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,31.25,#N/A,#N/A,#N/A,#N/A
MPHASIS,Buy,IT,#REF!,#REF!,580.3,-1.25,583.55,572.1,0.00556936
MPSLTD,BWLV,MEDIA-ENTERTAINMENT,#N/A,#N/A,645.15,#N/A,#N/A,#N/A,#N/A
MRF,Buy,AUTO-TYRES AND TUBES,#N/A,#N/A,65936.7,0.43,67371.8,65902.1,0.021301197
MRO-TEK,Exit,IT,#N/A,#N/A,50.05,#N/A,#N/A,#N/A,#N/A
MRPL,Buy,ENERGY-OIL & GAS,CRUDE OIL,Down,133.55,-0.56,134.75,132.7,0.00890538
MSPL,Exit,METALS AND MINING,#N/A,#N/A,13.9,#N/A,#N/A,#N/A,#N/A
MTEDUCARE,Exit,IT,#REF!,#REF!,83.75,1.19,87,83.5,0.037356322
MTNL,Exit,INFRA-TELECOM,#N/A,#N/A,25.1,-1.79,25.4,24.55,0.011811024
MUKANDENGG,HWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,62,0.16,63.05,61.6,0.01665345
